trade_id,log_file,signal_ts,direction,entry_ts,entry_price,entry_spot,expiry,strike,right,exit_ts,exit_price,exit_reason,hold_min,pnl_pts,pnl_rs,mfe_pts,mfe_pct,mfe_ts,mae_pts,mae_pct,mae_ts,pnl_at_mfe_rs,trail_15_exit_pts,trail_15_exit_rs,trail_15_reason,trail_20_exit_pts,trail_20_exit_rs,trail_20_reason,trail_25_exit_pts,trail_25_exit_rs,trail_25_reason,trail_30_exit_pts,trail_30_exit_rs,trail_30_reason,pnl_rs_40lots
780,trade_0780_2023-10-06_0920_B.csv,2023-10-06 09:15:00,bullish,2023-10-06 09:20:00,191.95,19604.1,2023-10-12,19450,ce,2023-10-06 09:50:00,211.15,profit_target,30,19.2,1248.0,19.1,9.95,2023-10-06 09:49:00,1.45,0.76,2023-10-06 09:42:00,1242.0,19.2,1248.0,profit_target,19.2,1248.0,profit_target,19.2,1248.0,profit_target,19.2,1248.0,profit_target,49920
788,trade_0788_2023-10-27_0920_B.csv,2023-10-27 09:15:00,bullish,2023-10-27 09:20:00,221.3,18937.1,2023-11-02,18800,ce,2023-10-27 09:24:00,243.43,profit_target,4,22.13,1438.0,22.95,10.37,2023-10-27 09:24:00,0.0,0.0,,1492.0,22.13,1438.0,profit_target,22.13,1438.0,profit_target,22.13,1438.0,profit_target,22.13,1438.0,profit_target,57538
794,trade_0794_2023-11-10_1425_B.csv,2023-11-10 14:20:00,bearish,2023-11-10 14:25:00,190.8,19377.95,2023-11-16,19550,pe,2023-11-10 14:55:00,168.5,max_hold,30,-22.3,-1450.0,8.55,4.48,2023-11-10 14:30:00,22.3,11.69,2023-11-10 14:55:00,556.0,-21.7,-1411.0,trail_stop,-22.3,-1450.0,max_hold,-22.3,-1450.0,max_hold,-22.3,-1450.0,max_hold,-57980
797,trade_0797_2023-11-17_1400_B.csv,2023-11-17 13:55:00,bearish,2023-11-17 14:00:00,172.05,19737.4,2023-11-23,19900,pe,2023-11-17 14:30:00,163.4,max_hold,30,-8.65,-562.0,0.0,0.0,,26.25,15.26,2023-11-17 14:11:00,0.0,-8.65,-562.0,max_hold,-8.65,-562.0,max_hold,-8.65,-562.0,max_hold,-8.65,-562.0,max_hold,-22490
799,trade_0799_2023-11-24_0930_B.csv,2023-11-24 09:25:00,bullish,2023-11-24 09:30:00,194.15,19830.4,2023-11-30,19700,ce,2023-11-24 10:00:00,152.3,max_hold,30,-41.85,-2720.0,0.0,0.0,,41.85,21.56,2023-11-24 10:00:00,0.0,-41.85,-2720.0,max_hold,-41.85,-2720.0,max_hold,-41.85,-2720.0,max_hold,-41.85,-2720.0,max_hold,-108810
800,trade_0800_2023-11-24_1305_B.csv,2023-11-24 13:00:00,bearish,2023-11-24 13:05:00,157.6,19786.55,2023-11-30,19950,pe,2023-11-24 13:35:00,154.55,max_hold,30,-3.05,-198.0,8.4,5.33,2023-11-24 13:13:00,10.9,6.92,2023-11-24 13:30:00,546.0,-3.05,-198.0,max_hold,-3.05,-198.0,max_hold,-3.05,-198.0,max_hold,-3.05,-198.0,max_hold,-7930
808,trade_0808_2023-12-15_0920_B.csv,2023-12-15 09:15:00,bullish,2023-12-15 09:20:00,276.8,21266.8,2023-12-21,21100,ce,2023-12-15 09:50:00,257.5,max_hold,30,-19.3,-1254.0,1.5,0.54,2023-12-15 09:33:00,24.55,8.87,2023-12-15 09:42:00,98.0,-19.3,-1255.0,max_hold,-19.3,-1255.0,max_hold,-19.3,-1255.0,max_hold,-19.3,-1255.0,max_hold,-50180
819,trade_0819_2024-01-19_0920_B.csv,2024-01-19 09:15:00,bullish,2024-01-19 09:20:00,253.0,21645.55,2024-01-25,21500,ce,2024-01-19 09:50:00,234.2,max_hold,30,-18.8,-1222.0,13.7,5.42,2024-01-19 09:29:00,19.55,7.73,2024-01-19 09:45:00,890.0,-18.8,-1222.0,max_hold,-18.8,-1222.0,max_hold,-18.8,-1222.0,max_hold,-18.8,-1222.0,max_hold,-48880
820,trade_0820_2024-01-19_1320_B.csv,2024-01-19 13:15:00,bullish,2024-01-19 13:20:00,258.55,21636.75,2024-01-25,21500,ce,2024-01-19 13:50:00,240.9,max_hold,30,-17.65,-1147.0,0.0,0.0,,27.65,10.69,2024-01-19 13:29:00,0.0,-17.65,-1147.0,max_hold,-17.65,-1147.0,max_hold,-17.65,-1147.0,max_hold,-17.65,-1147.0,max_hold,-45890
826,trade_0826_2024-02-02_0920_B.csv,2024-02-02 09:15:00,bullish,2024-02-02 09:20:00,270.65,21919.25,2024-02-08,21750,ce,2024-02-02 09:24:00,297.71,profit_target,4,27.06,1759.0,27.2,10.05,2024-02-02 09:24:00,0.0,0.0,,1768.0,27.06,1759.0,profit_target,27.06,1759.0,profit_target,27.06,1759.0,profit_target,27.06,1759.0,profit_target,70356
